DATE,HSN1F
01/01/1976,603
04/01/1976,611
07/01/1976,664
10/01/1976,708
01/01/1977,825
04/01/1977,799
07/01/1977,755
10/01/1977,819
01/01/1978,795
04/01/1978,864
07/01/1978,789
10/01/1978,872
01/01/1979,754
04/01/1979,748
07/01/1979,715
10/01/1979,670
01/01/1980,592
04/01/1980,370
07/01/1980,636
10/01/1980,561
01/01/1981,511
04/01/1981,470
07/01/1981,431
10/01/1981,356
01/01/1982,368
04/01/1982,339
07/01/1982,375
10/01/1982,480
01/01/1983,582
04/01/1983,638
07/01/1983,606
10/01/1983,632
01/01/1984,691
04/01/1984,639
07/01/1984,619
10/01/1984,687
01/01/1985,645
04/01/1985,620
07/01/1985,766
10/01/1985,655
01/01/1986,733
04/01/1986,857
07/01/1986,698
10/01/1986,669
01/01/1987,709
04/01/1987,735
07/01/1987,658
10/01/1987,650
01/01/1988,585
04/01/1988,699
07/01/1988,679
10/01/1988,718
01/01/1989,719
04/01/1989,608
07/01/1989,731
10/01/1989,645
01/01/1990,620
04/01/1990,542
07/01/1990,542
10/01/1990,465
01/01/1991,401
04/01/1991,508
07/01/1991,511
10/01/1991,524
01/01/1992,676
04/01/1992,546
07/01/1992,627
10/01/1992,621
01/01/1993,596
04/01/1993,701
07/01/1993,655
10/01/1993,704
01/01/1994,619
04/01/1994,692
07/01/1994,628
10/01/1994,715
01/01/1995,626
04/01/1995,621
07/01/1995,765
10/01/1995,696
01/01/1996,714
04/01/1996,736
07/01/1996,770
10/01/1996,720
01/01/1997,830
04/01/1997,744
07/01/1997,805
10/01/1997,800
01/01/1998,872
04/01/1998,866
07/01/1998,876
10/01/1998,893
01/01/1999,875
04/01/1999,918
07/01/1999,900
10/01/1999,872
01/01/2000,873
04/01/2000,841
07/01/2000,887
10/01/2000,933
01/01/2001,936
04/01/2001,909
07/01/2001,880
10/01/2001,871
01/01/2002,880
04/01/2002,936
07/01/2002,956
10/01/2002,1006
01/01/2003,999
04/01/2003,1012
07/01/2003,1168
10/01/2003,1144
01/01/2004,1165
04/01/2004,1186
07/01/2004,1088
10/01/2004,1305
01/01/2005,1203
04/01/2005,1260
07/01/2005,1389
10/01/2005,1336
01/01/2006,1174
04/01/2006,1123
07/01/2006,965
10/01/2006,941
01/01/2007,891
04/01/2007,887
07/01/2007,778
10/01/2007,727
01/01/2008,627
04/01/2008,536
07/01/2008,477
10/01/2008,393
01/01/2009,336
04/01/2009,337
07/01/2009,411
10/01/2009,396
01/01/2010,345
04/01/2010,422
07/01/2010,283
10/01/2010,291
01/01/2011,307
04/01/2011,310
07/01/2011,296
10/01/2011,316
01/01/2012,335
04/01/2012,354
07/01/2012,369
10/01/2012,358
01/01/2013,446
04/01/2013,441
07/01/2013,375
10/01/2013,444
01/01/2014,443
04/01/2014,403
07/01/2014,402
10/01/2014,476
01/01/2015,515
04/01/2015,502
07/01/2015,506
10/01/2015,482
01/01/2016,505
04/01/2016,576
07/01/2016,628
10/01/2016,575
01/01/2017,573
04/01/2017,598
07/01/2017,572
10/01/2017,626
01/01/2018,590
04/01/2018,642
07/01/2018,628
10/01/2018,554
01/01/2019,595
04/01/2019,702
07/01/2019,648
10/01/2019,722
01/01/2020,690
04/01/2020,579
07/01/2020,983
10/01/2020,1031
01/01/2021,896
04/01/2021,837
07/01/2021,727
10/01/2021,683
01/01/2022,798
04/01/2022,636
07/01/2022,519
10/01/2022,577
01/01/2023,639
04/01/2023,687
07/01/2023,700
10/01/2023,673
01/01/2024,664
03/01/2024,683
05/01/2024,672
07/01/2024,707
